Stage_Name,DAP_Range,N_Observations,N_Farms,MAE_t_ha,RMSE_t_ha,R2_Score,MAPE_pct,MAE_kg_ha,Mean_Actual_Yield_t_ha,Mean_Predicted_Yield_t_ha
Stage 1: Sprouting (DAP <= 45),1 - 45,313,152,0.5877,0.7349,0.7705,6.2363,587.7,9.769808306709265,9.759481464233902
Stage 2: Early Vegetative (DAP 46-75),46 - 75,202,125,0.5962,0.7323,0.7281,5.5461,596.1999999999999,10.935445544554456,10.887080764295208
Stage 3: Vegetative (DAP 76-120),76 - 120,316,158,0.5949,0.7332,0.7865,4.9073,594.9,12.309018987341771,12.2997574122756
Stage 4: Rhizome Initiation (DAP 121-180),121 - 180,358,163,0.6229,0.7741,0.7498,4.6904,622.9,13.570055865921788,13.610282985198952
Stage 5: Rhizome Dev & Maturity (DAP > 180),181 - 365,788,200,0.603,0.7388,0.8347,3.7511,603.0,16.32057106598985,16.2758505937813
